AWS Resource Prefixes
AccessAnalyzer
Amplify
ApiGateway
ApiGatewayV2
AppConfig
AppFabric
AppFlow
AppIntegrations
AppMesh
AppRunner
AppStream
AppSync
Athena
AuditManager
Backup
Batch
Bedrock
BillingConductor
Braket
Budgets
CertificateManager
Cloud9
CloudFormation
CloudFront
CloudHSM
CloudSearch
CloudTrail
CloudWatch
CodeArtifact
CodeBuild
CodeCommit
CodeDeploy
CodeGuruProfiler
CodePipeline
Cognito
Comprehend
Config
Connect
CustomerProfiles
DMS
DataPipeline
DeepComposer
DynamoDB
EC2
ECS
EFS
EKS
EMR
ElastiCache
ElasticBeanstalk
ElasticLoadBalancingV2
Elasticsearch
FSx
Glue
GuardDuty
IAM
IoT
KMS
Kinesis
Lambda
Lex
MSK
Macie
ManagedBlockchain
Neptune
NetworkFirewall
OpenSearchService
Organizations
QLDB
RDS
Redshift
Route53
S3
SNS
SQS
SageMaker
SecretsManager
StepFunctions
WAF
WorkSpaces
